epoch,accuracy,loss,val_accuracy,val_loss
0,0.7920023798942566,0.5302717089653015,0.9008363485336304,0.2610059380531311
1,0.9074903130531311,0.2443627566099167,0.9151732325553894,0.23178713023662567
2,0.9268875122070312,0.19611242413520813,0.9235364198684692,0.21035051345825195
3,0.9358400702476501,0.1618991643190384,0.9151732325553894,0.22419916093349457
4,0.9462847113609314,0.14884641766548157,0.9223417043685913,0.2057046890258789
5,0.9519546627998352,0.125689297914505,0.9247311949729919,0.19795460999011993
6,0.9600119590759277,0.11065474152565002,0.9223417043685913,0.19825533032417297
7,0.9629961252212524,0.10215262323617935,0.9342891573905945,0.18991628289222717
8,0.9701581597328186,0.09143229573965073,0.9295101761817932,0.1911025494337082
9,0.9683676362037659,0.08160657435655594,0.9295101761817932,0.18388554453849792
10,0.9794091582298279,0.07254940271377563,0.9318996667861938,0.18563653528690338
11,0.9829901456832886,0.06260283291339874,0.9259259104728699,0.19052036106586456
12,0.9868695735931396,0.05562432482838631,0.9354838728904724,0.18166525661945343
13,0.9841838479042053,0.053636278957128525,0.9271206855773926,0.19202843308448792
14,0.98716801404953,0.048739250749349594,0.9318996667861938,0.1836169809103012
